iteration,time,id,x,y,speed,orientation,cell,group,status,goal_x,goal_y,radius
0,0,zeivj,1.48207106781187,4,0.125,-180,0,0,completing goal,1.03207106781187,4,0.25
0,0,owkvn,3.66666666666667,1.52207106781187,0.2,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
0,0,ttmkh,8.51792893218814,4,0.125,0,0,2,completing goal,8.96792893218814,4,0.25
0,0,rpdha,1.34087572106361,1.34087572106361,0.125,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
0,0,qtrki,8.65912427893639,1.34087572106361,0.125,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
0,0,puiiq,1.48207106781187,7,0.125,-180,0,5,completing goal,1.03207106781187,7,0.25
0,0,tmimg,5.97208071699591,9.2902279612576,0.2,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
0,0,yyzwu,4.02791928300409,9.2902279612576,0.2,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
1,0.5,zeivj,1.48207106781187,4,0.15625,-180,0,0,completing goal,1.03207106781187,4,0.25
1,0.5,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
1,0.5,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
1,0.5,rpdha,1.34087572106361,1.34087572106361,0.15625,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
1,0.5,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
1,0.5,puiiq,1.48207106781187,7,0.15625,-180,0,5,completing goal,1.03207106781187,7,0.25
1,0.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
1,0.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
2,1,zeivj,1.48207106781187,4,0.15625,-180,0,0,completing goal,1.03207106781187,4,0.25
2,1,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
2,1,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
2,1,rpdha,1.34087572106361,1.34087572106361,0.15625,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
2,1,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
2,1,puiiq,1.48207106781187,7,0.15625,-180,0,5,completing goal,1.03207106781187,7,0.25
2,1,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
2,1,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
3,1.5,zeivj,1.48207106781187,4,0.15625,-180,0,0,completing goal,1.03207106781187,4,0.25
3,1.5,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
3,1.5,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
3,1.5,rpdha,1.34087572106361,1.34087572106361,0.15625,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
3,1.5,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
3,1.5,puiiq,1.48207106781187,7,0.15625,-180,0,5,completing goal,1.03207106781187,7,0.25
3,1.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
3,1.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
4,2,zeivj,1.48207106781187,4,0.15625,-180,0,0,completing goal,1.03207106781187,4,0.25
4,2,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
4,2,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
4,2,rpdha,1.34087572106361,1.34087572106361,0.15625,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
4,2,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
4,2,puiiq,1.48207106781187,7,0.15625,-180,0,5,completing goal,1.03207106781187,7,0.25
4,2,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
4,2,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
5,2.5,zeivj,1.48207106781187,4,0.15625,-180,0,0,completing goal,1.03207106781187,4,0.25
5,2.5,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
5,2.5,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
5,2.5,rpdha,1.34087572106361,1.34087572106361,0.15625,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
5,2.5,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
5,2.5,puiiq,1.48207106781187,7,0.15625,-180,0,5,completing goal,1.03207106781187,7,0.25
5,2.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
5,2.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
6,3,zeivj,1.48207106781187,4,0.15625,-180,0,0,completing goal,1.03207106781187,4,0.25
6,3,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
6,3,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
6,3,rpdha,1.34087572106361,1.34087572106361,0.15625,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
6,3,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
6,3,puiiq,1.48207106781187,7,0.15625,-180,0,5,completing goal,1.03207106781187,7,0.25
6,3,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
6,3,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
7,3.5,zeivj,1.48207106781187,4,0.15625,-180,0,0,completing goal,1.03207106781187,4,0.25
7,3.5,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
7,3.5,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
7,3.5,rpdha,1.34087572106361,1.34087572106361,0.15625,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
7,3.5,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
7,3.5,puiiq,1.48207106781187,7,0.15625,-180,0,5,completing goal,1.03207106781187,7,0.25
7,3.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
7,3.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
8,4,zeivj,1.48207106781187,4,0.15625,-180,0,0,completing goal,1.03207106781187,4,0.25
8,4,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
8,4,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
8,4,rpdha,1.34087572106361,1.34087572106361,0.15625,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
8,4,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
8,4,puiiq,1.48207106781187,7,0.15625,-180,0,5,completing goal,1.03207106781187,7,0.25
8,4,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
8,4,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
9,4.5,zeivj,1.48207106781187,4,0.15625,-180,0,0,completing goal,1.03207106781187,4,0.25
9,4.5,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
9,4.5,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
9,4.5,rpdha,1.34087572106361,1.34087572106361,0.15625,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
9,4.5,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
9,4.5,puiiq,1.48207106781187,7,0.15625,-180,0,5,completing goal,1.03207106781187,7,0.25
9,4.5,tmimg,5.97208071699591,9.2902279612576,0.4,67.5,0,6,completing goal,6.1595955988548,9.74292893218813,0.29
9,4.5,yyzwu,4.02791928300409,9.2902279612576,0.4,112.5,0,7,completing goal,3.8404044011452,9.74292893218813,0.29
10,5,zeivj,1.48207106781187,4,0.15625,90,0,0,move,5,12,0.25
10,5,owkvn,3.66666666666667,1.52207106781187,0.4,-90,0,1,completing goal,3.66666666666667,1.03207106781187,0.29
10,5,ttmkh,8.51792893218814,4,0.15625,0,0,2,completing goal,8.96792893218814,4,0.25
10,5,rpdha,1.34087572106361,1.34087572106361,0.15625,-135,0,3,completing goal,1.02267766952966,1.02267766952966,0.25
10,5,qtrki,8.65912427893639,1.34087572106361,0.15625,-45,0,4,completing goal,8.97732233047034,1.02267766952966,0.25
10,5,puiiq,1.48207106781187,7,0.15625,135,0,5,move,5,12,0.25
